Model,Version,Fuel,Transmission,Fiscal_Power,Horsepower,Price
BMW Série 4,M440i xDrive Cabriolet Confort,Essence,Automatique,8 CV,190 CH,"





972000"
BMW Série 4,MHEV 420d gran coupe Pack M,Diesel,Automatique,8 CV,190 CH,"





778000"
BMW Série 4,420i ÉLÉGANCE coupé,Essence,Automatique,11 CV,184 CH,"





594000"
BMW Série 4,420d Pack M LTD Gran coupe,Essence,Automatique,11 CV,184 CH,"





684000"
BMW Série 4,MHEV 420d Élégance cabriolet,Essence,Automatique,8 CV,190 CH,"





721000"
BMW Série 4,MHEV 420d Pack M cabriolet,Essence,Automatique,8 CV,190 CH,"





814000"
BMW Série 5,MHEV 520d PACK M,Essence,Automatique,11 CV,208 CH,"





675000"
BMW Série 5,MHEV 520i Élégance,Essence,Automatique,11 CV,208 CH,"





585000"
BMW Série 5,MHEV 520i M Édition,Essence,Automatique,11 CV,208 CH,"





766000"
BMW Série 5,PHEV 530e Élégance,Hybride,Automatique,11 CV,299 CH,"





710000"
BMW Série 5,PHEV 530e Pack M,Hybride,Automatique,11 CV,299 CH,"





796000"
BMW Série 5,PHEV 530e M Edition,Hybride,Automatique,11 CV,299 CH,"





906000"
BMW Série 5,PHEV 550e xDrive Élégance,Hybride,Automatique,17 CV,313 CH,"





934000"
BMW Série 5,PHEV 550e xDrive Pack M,Hybride,Automatique,17 CV,313 CH,"





984000"
BMW Série 5,PHEV 550e xDrive M Edition,Hybride,Automatique,17 CV,313 CH,"





1086000"
BMW Série 5,MHEV 520d Élégance,Diesel,Automatique,8 CV,197 CH,"





599900"
BMW Série 5,MHEV 520d Pack M,Diesel,Automatique,8 CV,197 CH,"





685000"
BMW Série 5,MHEV 520d M Édition,Diesel,Automatique,8 CV,197 CH,"





778000"
BMW Série 7,PHEV 760e xDrive M Sport iconic,Hybride,Automatique,25 CV,571 CH,"





2131000"
BMW Série 7,PHEV 750e xDrive Pure Excellence,Hybride,Automatique,17 CV,489 CH,"





1786000"
BMW Série 7,PHEV 750e xDrive Signature,Hybride,Automatique,17 CV,489 CH,"





1568000"
BMW Série 7,PHEV 750e 750e xDrive M Sport,Hybride,Automatique,17 CV,489 CH,"





1842000"
BMW Série 7,PHEV 750e xDrive M Sport Iconic,Hybride,Automatique,17 CV,489 CH,"





1967000"
BMW Série 7,PHEV 760e xDrive M Sport,Hybride,Automatique,25 CV,571 CH,"





2009000"
BMW Série 7,MHEV  740d xDrive Signature,Diesel,Automatique,17 CV,299 CH,"





1409000"
BMW Série 7,MHEV  740d xDrive Pure Excellence,Diesel,Automatique,17 CV,299 CH,"





1619000"
BMW Série 7,MHEV  740d xDrive M Sport Iconic,Diesel,Automatique,17 CV,299 CH,"





1805000"
BMW Série 7,MHEV  740d xDrive M Sport,Diesel,Automatique,17 CV,299 CH,"





1679000"
BMW Série 7,MHEV  760i xDrive M Sport,Diesel,Automatique,17 CV,299 CH,"





1955000"
BMW Série 7,MHEV 760i xDrive M Sport Iconic,Diesel,Automatique,17 CV,299 CH,"





2078000"
BMW X1,MHEV sDrive 18d Signature,Diesel,Automatique,8 CV,150 CH,"





505000"
BMW X1,MHEV sDrive 18d X line,Diesel,Automatique,8 CV,150 CH,"





561000"
BMW X1,sDrive 18d Pack M,Diesel,Automatique,8 CV,245 CH,"





598000"
BMW X3,xDrive 20d X Line,Diesel,Automatique,8 CV,190 CH,"





595000"
BMW X3,xDrive 20d Pack M,Diesel,Automatique,8 CV,190 CH,"





677000"
BMW X3,xDrive 20d M Édition,Diesel,Automatique,8 CV,197 CH,"





734600"
BMW X4,xDrive 20d XLINE,Diesel,Automatique,8 CV,190 CH,"





670000"
BMW X4,xDrive 20d PACK M,Diesel,Automatique,8 CV,190 CH,"





762000"
BMW X5,PHEV xDrive 50e Pack M,Hybride,Automatique,17 CV,489 CH,"





1100000"
BMW X5,PHEV xDrive 50e M Édition,Hybride,Automatique,17 CV,489 CH,"





1179000"
BMW X5,MHEV xDrive 30d XLINE,Essence,Automatique,12 CV,298 CH,"





842000"
BMW X5,MHEV xDrive 30d PACK M,Essence,Automatique,12 CV,298 CH,"





975000"
BMW X5,PHEV xDrive50e Hybride Rechargeable X Line,Hybride,Automatique,17 CV,489 CH,"





995000"
BMW X5,MHEV xDrive 50e Pack M EDITION,Hybride,Automatique,17 CV,489 CH,"





1059000"
BMW X6,MHEV xDrive 30d Black Édition,Diesel,Automatique,12 CV,265 CH,"





1146000"
BMW X6,MHEV xDrive 30d Pack M,Diesel,Automatique,12 CV,265 CH,"





1010000"
BMW X6,MHEV xDrive 30d M Édition,Diesel,Automatique,12 CV,265 CH,"





1072000"
BMW X6,MHEV  M60i xDrive,Essence,Automatique,12 CV,265 CH,"





1513000"
BMW Z4,ROADSTER M40I M TwinPower Turbo  EXCLUSIVE,Essence,Automatique,17 CV,340 CH,"





1093000"
BMW Z4,MHEV 20i CONFORT,Essence,Automatique,11 CV,197 CH,"





761000"
BMW Z4,MHEV 20i PACK M,Essence,Automatique,11 CV,197 CH,"





860000"
Chevrolet Captiva,2.2 VCDI LT 4WD BVA,Diesel,Automatique,9 CV,184 CH,"





299900"
Chevrolet Captiva,2.2 VCDi LTZ 4WD BVA,Diesel,Automatique,9 CV,184 CH,"





354000"
Chevrolet Cruze,2.0 VCDI LT BVA,Diesel,Automatique,8 CV,163 CH,"





224900"
Chevrolet Cruze,2.0 VCDI LS,Diesel,Manuelle,8 CV,163 CH,"





196900"
Chevrolet Cruze,2.0 VCDI LT,Diesel,Manuelle,8 CV,150 CH,"





215900"
Chevrolet Spark,1.0 I LS,Essence,Manuelle,6 CV,68 CH,"





99900"
Citroën Berlingo,1.5 BlueHDi 100 Shine Pack,Diesel,Manuelle,6 CV,100 CH,"





279900"
Citroën Berlingo,1.5 BlueHDi 100 Feel,Diesel,Manuelle,6 CV,100 CH,"





242900"
Citroën Berlingo,1.5 BlueHDi 100 Feel Pack,Diesel,Manuelle,6 CV,100 CH,"





259900"
Citroën C3,1.2 Essence 82 ch YOU,Essence,Manuelle,7 CV,82 CH,"





149900"
Citroën C3,1.2 Essence 82 ch PLUS,Essence,Manuelle,7 CV,82 CH,"





159900"
Citroën C3,1.2 Essence MHEV 110 ch PLUS,Essence,Automatique,7 CV,110 CH,"





205900"
Citroën C4,MHEV1.2 Hybrid 145 AT MAX+ SA,Essence,Automatique,7 CV,145 CH,"





307400"
Citroën C4,1.2 Essence 130 AT MAX,Essence,Automatique,7 CV,130 CH,"





279900"
Citroën C4,1.2 PureTech 130 AT PLUS,Essence,Automatique,7 CV,130 CH,"





259900"
Citroën C4,1.2 Essence 130 AT MAX PACK,Essence,Automatique,7 CV,130 CH,"





291900"
Citroën C4,MHEV 1.2 Hybrid 145 AT MAX+,Essence,Automatique,7 CV,145 CH,"





299900"
